x_svgunits,dmochowski_timeseries,poulsen_timeseries,lab_results
59540.1286,0.027824,0.044578,0.044651
59774.8670,0.017114,0.069165,0.048643
60009.6053,0.030695,0.115952,0.035140
60244.3437,0.055955,0.162739,0.039143
60479.0821,0.087105,0.195151,0.034624
60713.8204,0.106689,0.201438,0.080402
60948.5588,0.115354,0.175372,0.084363
61183.2972,0.101111,0.135842,0.086074
61418.0355,0.054702,0.062981,0.099689
61652.7739,0.026627,0.022871,0.118241
61887.5122,0.019189,0.037279,0.023984
62122.2506,0.020509,0.078436,0.009387
62356.9890,0.044485,0.075438,0.033569
62591.7273,0.061312,0.116298,0.029708
62826.4657,0.060979,0.123929,0.123541
63061.2040,0.055576,0.104606,0.196978
63295.9424,0.037929,0.081668,0.199203
63530.6808,0.017456,0.081161,0.174714
63765.4191,0.004920,0.021030,0.174480
64000.1575,-0.005305,0.029350,0.110612
64234.8959,0.026990,0.040778,0.056076
64469.6342,0.042194,0.026392,0.057018
64704.3726,0.040439,0.013877,0.066654
64939.1109,0.072105,0.033060,0.055978
65173.8493,0.071543,0.036310,0.039647
65408.5877,0.044649,0.051205,0.031281
65643.3260,0.048562,0.067743,0.026108
65878.0644,0.050411,0.079456,0.029438
66112.8028,0.020246,0.073190,0.038872
66347.5411,0.029231,0.066192,0.054012
66582.2795,0.037605,0.037307,0.066744
66817.0178,0.032718,0.055434,0.070501
67051.7562,0.063739,0.056264,0.017483
67286.4946,0.061060,0.058433,0.009225
67521.2329,0.055975,0.066173,0.030074
67755.9713,0.046692,0.067070,0.024860
67990.7097,0.040618,0.054341,0.014782
68225.4480,0.024928,0.078037,0.029892
68460.1864,0.032859,0.084402,0.035121
68694.9247,0.044334,0.085944,0.041275
68929.6631,0.071404,0.095702,0.071464
69164.4015,0.070311,0.105424,0.084091
69399.1398,0.069746,0.084358,0.077337
69633.8782,0.069822,0.079361,0.070301
69868.6165,0.056004,0.064222,0.021498
70103.3549,0.028460,0.032464,0.005202
70338.0933,0.007842,-0.003235,0.011284
70572.8316,-0.003021,-0.008342,0.033232
70807.5700,-0.011597,-0.003871,0.040474
71042.3084,-0.014577,-0.001418,0.060709
71277.0467,-0.004301,0.002715,0.053628
71511.7851,0.009234,0.037022,0.040507
71746.5234,0.019053,0.050302,0.018775
71981.2618,0.025359,0.042786,0.009103
72216.0002,0.019948,0.041859,0.006278
72450.7385,0.021904,0.042165,0.058231
72685.4769,0.016799,0.027201,0.054162
72920.2153,0.006692,0.007046,0.049905
73154.9536,0.005081,0.007459,0.065757
73389.6920,0.014092,0.008780,0.048997
73624.4303,0.021583,0.022612,0.033534
73859.1687,0.055471,0.030342,0.036275
74093.9071,0.066548,0.051065,0.042687
