timestamp,min_lum,mean_lum,max_lum,diff_lum,amp_rms,amp_peak,ebu_r128_M
824.333333,0,45.4825,191,1.47614,-22.925168947174203,-31.361464696714243,-32.05866640000006
824.366667,0,45.5157,191,2.44181,-23.49263274434085,-32.16364744869655,-32.08533360000003
824.4,0,45.5103,191,1.67392,-23.924234393712577,-33.54876507388022,-32.112
824.433333,0,45.3638,191,3.43836,-25.16626645001063,-34.95086074715427,-32.111000010000005
824.466667,0,45.3483,191,0.0850282,-22.77368141804028,-30.970216008435163,-32.10999999
824.5,0,45.3633,190,1.71177,-22.434711228801344,-31.228363017719804,-32.109
824.533333,0,45.6115,190,3.11829,-23.158087,-31.694816,-32.09300016000002
824.566667,0,45.7841,191,0.737194,-23.10267429770517,-32.35223341963181,-32.076999839999985
824.6,0,45.8973,196,0.945299,-23.15866042195643,-31.813552155479382,-32.061
824.633333,0,45.7179,196,0.370727,-22.93668465040169,-32.47855705437637,-32.124332699999925
824.666667,0,45.9271,191,2.30721,-22.826927451300406,-31.611787898753523,-32.18766729999985
824.7,0,46.011,193,2.19065,-22.434661043407655,-31.319909819621312,-32.251
824.733333,0,46.1723,193,3.48152,-25.137399356054164,-34.631641651825355,-32.34266575
824.766667,0,46.2096,193,3.16633,-22.852060462296215,-32.905201254353436,-32.43433425
824.8,0,46.1805,193,0.206188,-23.24678599999991,-32.646370000002655,-32.526
824.833333,0,46.221,192,1.21128,-23.078035219897433,-33.90926920667775,-32.57799948000012
824.866667,0,46.2589,193,0.867549,-25.711758495169676,-35.21531863635492,-32.63000052000006
824.9,0,46.3098,191,1.25718,-24.9719743419099,-33.6365883844741,-32.682
824.933333,0,46.211,190,0.477429,-24.0937486590377,-33.7846804963874,-32.578334370000114
824.966667,0,46.1546,194,0.189061,-23.635811936432923,-32.444017608022385,-32.47466562999989
825.0,0,45.8314,192,1.96051,-23.454937225137353,-30.837485004641078,-32.371
825.033333,0,45.7953,192,1.93088,-20.303860590214292,-29.687794180281635,-32.392999779999975
825.066667,0,45.6656,191,1.64712,-19.67495,-30.173772,-32.415000220000024
825.1,0,45.9068,192,2.12229,-22.59690351933762,-32.02579855702564,-32.437
825.133333,0,71.9665,188,43.0102,-23.730253505078952,-32.884442982087364,-32.47733292999995
825.166667,0,71.9671,188,0.0057053,-27.03103210645729,-36.13343620531725,-32.51766706999991
825.2,0,72.7173,188,9.20252,-26.297444031450738,-35.181160019170505,-32.558
825.233333,0,73.9039,197,9.15494,-24.989138888108037,-34.232074744715156,-32.691665330000006
825.266667,0,74.0629,196,8.6005,-25.11422145197521,-34.18220927501883,-32.82533467
825.3,0,73.6659,198,6.99986,-24.10847130258442,-33.40941638320967,-32.959
825.333333,0,73.6129,194,0.364525,-24.855585315708005,-34.00225693995224,-33.17133121000049
825.366667,0,73.5365,193,4.50672,-24.751714824602185,-34.725064920410524,-33.383668790000236
825.4,0,73.3605,194,7.61355,-24.985352063566037,-34.9434834973529,-33.596
825.433333,0,72.7143,194,7.80047,-23.812478244869563,-31.983754151218324,-33.49766765000011
825.466667,0,71.5117,193,7.08358,-23.536497395725696,-31.6490224730252,-33.39933234999989
825.5,0,71.4695,191,0.192471,-21.060039893408167,-30.758344013311213,-33.301
825.533333,0,70.3662,190,6.10433,-22.365118281394924,-32.595241432710665,-33.35333280999994
